com_name,N,continent,month
Southern Gray-headed Sparrow,3555,Africa,mar23
Cape Robin-Chat,553,Africa,mar23
African Hoopoe,62,Africa,mar23
Red-eyed Dove,48,Africa,mar23
Southern Masked-Weaver,11,Africa,mar23
Hadada Ibis,654,Africa,mar23
Natal Francolin,17,Africa,mar23
Cardinal Woodpecker,7,Africa,mar23
Fire-crested Alethe,6,Africa,mar23
African Gray Hornbill,153,Africa,mar23
Tropical Boubou,9,Africa,mar23
Black-billed Wood-Dove,1,Africa,mar23
Striped Kingfisher,2,Africa,mar23
African Gray Woodpecker,3,Africa,mar23
Egyptian Goose,1,Africa,mar23
Northern Gray-headed Sparrow,24,Africa,mar23
Red-cheeked Cordonbleu,42,Africa,mar23
Cape Sparrow,460,Africa,mar23
Small Buttonquail,161,Africa,mar23
Rose-ringed Parakeet,106,Africa,mar23
Mourning Collared-Dove,15,Africa,mar23
Western Black-headed Batis,2,Africa,mar23
Wattled Lapwing,3,Africa,mar23
Fan-tailed Raven,3,Africa,mar23
Yellow-throated Bush Sparrow,12,Africa,mar23
African Wood-Owl,13,Africa,mar23
Crowned Lapwing,43,Africa,mar23
White-browed Robin-Chat,33,Africa,mar23
Blue-naped Mousebird,10,Africa,mar23
Namaqua Dove,9,Africa,mar23
Speckled Pigeon,277,Africa,mar23
Helmeted Guineafowl,9,Africa,mar23
Arrow-marked Babbler,6,Africa,mar23
Brown-hooded Kingfisher,8,Africa,mar23
Spotted Eagle-Owl,39,Africa,mar23
Black-headed Gonolek,2,Africa,mar23
South African Swallow,2,Africa,mar23
Red-winged Starling,121,Africa,mar23
Cape Crombec,10,Africa,mar23
Rameron Pigeon,8,Africa,mar23
Tawny-flanked Prinia,4,Africa,mar23
Red-faced Mousebird,8,Africa,mar23
Pied Crow,8,Africa,mar23
Blacksmith Lapwing,3,Africa,mar23
Lesser Striped Swallow,15,Africa,mar23
European Bee-eater,8,Africa,mar23
Burchell's Starling,2,Africa,mar23
Cape White-eye,7,Africa,mar23
Rüppell's Starling,2,Africa,mar23
Gray Go-away-bird,34,Africa,mar23
Greater Striped Swallow,18,Africa,mar23
White-breasted Sunbird,14,Africa,mar23
Yellow-fronted Tinkerbird,1,Africa,mar23
Streaky-headed Seedeater,13,Africa,mar23
Gabar Goshawk,1,Africa,mar23
Kurrichane Thrush,1,Africa,mar23
Rufous-chested Swallow,5,Africa,mar23
Lesser Honeyguide,2,Africa,mar23
Bronze Mannikin,13,Africa,mar23
Black-collared Barbet,22,Africa,mar23
Green Woodhoopoe,12,Africa,mar23
Cape Starling,1,Africa,mar23
Squacco Heron,2,Africa,mar23
Barn Owl,1,Africa,mar23
African Fish-Eagle,2,Africa,mar23
Magpie Shrike,3,Africa,mar23
Trumpeter Hornbill,1,Africa,mar23
Fiery-necked Nightjar,3,Africa,mar23
Common Waxbill,5,Africa,mar23
Laughing Dove,14,Africa,mar23
African Pygmy-Kingfisher,7,Africa,mar23
Southern Boubou,7,Africa,mar23
Gray-headed Kingfisher,1,Africa,mar23
Ashy Tit,1,Africa,mar23
Rock Pigeon,1,Africa,mar23
Common Bulbul,1,Africa,mar23
African Palm-Swift,17,Africa,mar23
Black Cuckooshrike,1,Africa,mar23
Brubru,18,Africa,mar23
Bearded Woodpecker,1,Africa,mar23
Black-backed Puffback,1,Africa,mar23
Little Swift,17,Africa,mar23
Northern Puffback,6,Africa,mar23
Beautiful Sunbird,2,Africa,mar23
African Black-headed Oriole,2,Africa,mar23
Cape Bulbul,1,Africa,mar23
Yellow-streaked Greenbul,2,Africa,mar23
Mariqua Sunbird,13,Africa,mar23
Spotted Thick-knee,14,Africa,mar23
Cape Rock-Thrush,1,Africa,mar23
Quailfinch,2,Africa,mar23
Greater Vasa Parrot,1,Africa,mar23
White-fronted Bee-eater,1,Africa,mar23
Speckled Mousebird,1,Africa,mar23
Freckled Nightjar,3,Africa,mar23
Winding Cisticola,2,Africa,mar23
Hook-billed Vanga,1,Africa,mar23
White-necked Raven,1,Africa,mar23
Greater Honeyguide,1,Africa,mar23
Yellow-billed Barbet,2,Africa,mar23
Long-tailed Nightjar,5,Africa,mar23
African Palm-Swift,4,Africa,apr23
Long-tailed Nightjar,18,Africa,apr23
Cape Robin-Chat,793,Africa,apr23
Hadada Ibis,1329,Africa,apr23
Southern Gray-headed Sparrow,564,Africa,apr23
Cape Sparrow,377,Africa,apr23
European Bee-eater,6,Africa,apr23
Small Buttonquail,361,Africa,apr23
Pied Crow,54,Africa,apr23
Cape White-eye,13,Africa,apr23
Streaky-headed Seedeater,5,Africa,apr23
Bronze Mannikin,21,Africa,apr23
Black-headed Gonolek,84,Africa,apr23
Common Bulbul,3,Africa,apr23
African Gray Hornbill,36,Africa,apr23
Red-cheeked Cordonbleu,14,Africa,apr23
Klaas's Cuckoo,5,Africa,apr23
Namaqua Dove,23,Africa,apr23
Great Blue Turaco,4,Africa,apr23
Rose-ringed Parakeet,55,Africa,apr23
Emerald-spotted Wood-Dove,1,Africa,apr23
White-browed Robin-Chat,14,Africa,apr23
Gray Go-away-bird,46,Africa,apr23
Fire-crested Alethe,31,Africa,apr23
Red-chested Cuckoo,361,Africa,apr23
Helmeted Guineafowl,127,Africa,apr23
Little Swift,18,Africa,apr23
African Thrush,26,Africa,apr23
Lesser Striped Swallow,9,Africa,apr23
Greater Striped Swallow,19,Africa,apr23
Crowned Lapwing,350,Africa,apr23
Peregrine Falcon,3,Africa,apr23
Gray-headed Kingfisher,3,Africa,apr23
Red-winged Starling,56,Africa,apr23
Gabar Goshawk,1,Africa,apr23
Rameron Pigeon,13,Africa,apr23
Red-eyed Dove,908,Africa,apr23
Northern Puffback,16,Africa,apr23
Southern Masked-Weaver,21,Africa,apr23
South African Swallow,2,Africa,apr23
Spotted Thick-knee,14,Africa,apr23
African Wood-Owl,67,Africa,apr23
Speckled Pigeon,262,Africa,apr23
Barn Owl,1,Africa,apr23
White-headed Buffalo-Weaver,2,Africa,apr23
Red-faced Mousebird,10,Africa,apr23
Spotted Eagle-Owl,7,Africa,apr23
Speckled Mousebird,1,Africa,apr23
Western Black-headed Batis,1,Africa,apr23
Freckled Nightjar,4,Africa,apr23
South African Shelduck,3,Africa,apr23
Green Woodhoopoe,21,Africa,apr23
Brubru,2,Africa,apr23
Trumpeter Hornbill,1,Africa,apr23
Rüppell's Starling,2,Africa,apr23
Malachite Kingfisher,4,Africa,apr23
Northern Gray-headed Sparrow,6,Africa,apr23
Common Waxbill,5,Africa,apr23
Laughing Dove,101,Africa,apr23
Yellow-billed Barbet,1,Africa,apr23
White-faced Whistling-Duck,2,Africa,apr23
Wattled Lapwing,33,Africa,apr23
Cape Crow,1,Africa,apr23
African Pied Wagtail,1,Africa,apr23
Black-fronted Bulbul,1,Africa,apr23
Swainson's Francolin,1,Africa,apr23
Hamerkop,4,Africa,apr23
Black-winged Stilt,1,Africa,apr23
Long-crested Eagle,1,Africa,apr23
Brown-hooded Kingfisher,3,Africa,apr23
Squacco Heron,2,Africa,apr23
Village Weaver,3,Africa,apr23
Delegorgue's Pigeon,2,Africa,apr23
African Hoopoe,5,Africa,apr23
Bearded Woodpecker,2,Africa,apr23
White-headed Woodhoopoe,1,Africa,apr23
Red-billed Oxpecker,1,Africa,apr23
Rufous-chested Swallow,2,Africa,apr23
Mariqua Sunbird,3,Africa,apr23
Yellow-billed Kite,5,Africa,apr23
Fiery-necked Nightjar,2,Africa,apr23
Tropical Boubou,1,Africa,apr23
White-breasted Sunbird,2,Africa,apr23
Chestnut-throated Apalis,1,Africa,apr23
African Pygmy-Kingfisher,5,Africa,apr23
Black-headed Weaver,1,Africa,apr23
Yellow-throated Bush Sparrow,5,Africa,apr23
Blacksmith Lapwing,2,Africa,apr23
Natal Francolin,2,Africa,apr23
Grey-backed Camaroptera,2,Africa,apr23
Southern Ground-Hornbill,1,Africa,apr23
Cape Wagtail,2,Africa,apr23
Coqui Francolin,1,Africa,apr23
Southern Cordonbleu,1,Africa,apr23
Arrow-marked Babbler,3,Africa,apr23
Kurrichane Thrush,1,Africa,apr23
Magpie Shrike,1,Africa,apr23
Black Cuckoo,2,Africa,apr23
Ring-necked Dove,9,Africa,apr23
Verreaux's Eagle-Owl,1,Africa,apr23
Yellow-streaked Greenbul,1,Africa,apr23
Small Buttonquail,100,Africa,may23
Hadada Ibis,1115,Africa,may23
Southern Gray-headed Sparrow,204,Africa,may23
Laughing Dove,9,Africa,may23
Rose-ringed Parakeet,310,Africa,may23
Cape Robin-Chat,890,Africa,may23
Crowned Lapwing,174,Africa,may23
Spotted Eagle-Owl,55,Africa,may23
Black-collared Barbet,5,Africa,may23
Bronze Mannikin,2,Africa,may23
Cape Sparrow,143,Africa,may23
Gabar Goshawk,1,Africa,may23
African Pygmy-Kingfisher,5,Africa,may23
African Gray Hornbill,50,Africa,may23
African Hoopoe,3,Africa,may23
Namaqua Dove,20,Africa,may23
Greater Striped Swallow,1,Africa,may23
Little Swift,7,Africa,may23
Speckled Pigeon,74,Africa,may23
Southern Masked-Weaver,179,Africa,may23
Red-eyed Dove,150,Africa,may23
Barn Owl,1,Africa,may23
Gray Go-away-bird,40,Africa,may23
Cape Crow,7,Africa,may23
Red-winged Starling,1,Africa,may23
Red-faced Mousebird,11,Africa,may23
Yellow-throated Bush Sparrow,6,Africa,may23
White-breasted Sunbird,9,Africa,may23
Peregrine Falcon,3,Africa,may23
Pied Crow,17,Africa,may23
Green Woodhoopoe,8,Africa,may23
Cape Crombec,1,Africa,may23
Helmeted Guineafowl,5,Africa,may23
Arrow-marked Babbler,2,Africa,may23
Rock Pigeon,2,Africa,may23
White-necked Raven,2,Africa,may23
Burchell's Starling,3,Africa,may23
Rameron Pigeon,4,Africa,may23
Spotted Thick-knee,19,Africa,may23
Orange River Francolin,2,Africa,may23
Cape White-eye,16,Africa,may23
Wattled Lapwing,2,Africa,may23
Black Cuckoo,1,Africa,may23
South African Shelduck,1,Africa,may23
Narina Trogon,1,Africa,may23
Egyptian Goose,2,Africa,may23
Cardinal Woodpecker,2,Africa,may23
Speckled Mousebird,1,Africa,may23
Streaky-headed Seedeater,1,Africa,may23
Cape Wagtail,1,Africa,may23
Trumpeter Hornbill,1,Africa,may23
Natal Francolin,6,Africa,may23
Crested Barbet,3,Africa,may23
Southern Cordonbleu,1,Africa,may23
Ring-necked Dove,7,Africa,may23
Common Scimitarbill,1,Africa,may23
Cape Crow,12,Africa,jun23
Cape Robin-Chat,2968,Africa,jun23
Hadada Ibis,3313,Africa,jun23
Southern Masked-Weaver,1727,Africa,jun23
Rose-ringed Parakeet,1332,Africa,jun23
Southern Gray-headed Sparrow,141,Africa,jun23
Cape Sparrow,61,Africa,jun23
Crested Barbet,585,Africa,jun23
Southern Boubou,13,Africa,jun23
Cape White-eye,100,Africa,jun23
Gray Go-away-bird,770,Africa,jun23
Red-eyed Dove,1312,Africa,jun23
Red-faced Mousebird,39,Africa,jun23
African Gray Hornbill,22,Africa,jun23
White-breasted Sunbird,154,Africa,jun23
Yellow-fronted Canary,22,Africa,jun23
Speckled Pigeon,479,Africa,jun23
Crowned Lapwing,132,Africa,jun23
Small Buttonquail,176,Africa,jun23
Spotted Eagle-Owl,63,Africa,jun23
African Hoopoe,12,Africa,jun23
Pied Crow,40,Africa,jun23
Black-collared Barbet,79,Africa,jun23
Gray-headed Bushshrike,27,Africa,jun23
Spotted Thick-knee,119,Africa,jun23
Burchell's Starling,2,Africa,jun23
Pied Barbet,1,Africa,jun23
Red-winged Starling,2,Africa,jun23
Southern Ground-Hornbill,1,Africa,jun23
Delegorgue's Pigeon,2,Africa,jun23
Helmeted Guineafowl,107,Africa,jun23
Black-backed Puffback,21,Africa,jun23
Ring-necked Dove,5,Africa,jun23
Namaqua Dove,32,Africa,jun23
Laughing Dove,196,Africa,jun23
Natal Francolin,1,Africa,jun23
Streaky-headed Seedeater,1,Africa,jun23
White-necked Raven,4,Africa,jun23
Green Woodhoopoe,35,Africa,jun23
Cape Crombec,3,Africa,jun23
Speckled Mousebird,41,Africa,jun23
Long-billed Pipit,1,Africa,jun23
Rameron Pigeon,4,Africa,jun23
African Dusky Flycatcher,1,Africa,jun23
African Fish-Eagle,3,Africa,jun23
Egyptian Goose,9,Africa,jun23
Little Swift,1,Africa,jun23
Red-chested Flufftail,2,Africa,jun23
Cape Starling,2,Africa,jun23
Northern Black-Flycatcher,1,Africa,jun23
White-eyed Slaty-Flycatcher,1,Africa,jun23
Village Weaver,17,Africa,jun23
Fork-tailed Drongo,18,Africa,jun23
Nubian Woodpecker,4,Africa,jun23
Northern Puffback,16,Africa,jun23
Red-cheeked Cordonbleu,25,Africa,jun23
Bronze Mannikin,4,Africa,jun23
Klaas's Cuckoo,165,Africa,jun23
Lesser Blue-eared Starling,13,Africa,jun23
Common Bulbul,12,Africa,jun23
Great White Pelican,42,Africa,jun23
African Paradise-Flycatcher,17,Africa,jun23
Verreaux's Eagle-Owl,7,Africa,jun23
African Wood-Owl,66,Africa,jun23
White-rumped Swift,1,Africa,jun23
African Thrush,218,Africa,jun23
Yellow-rumped Tinkerbird,3,Africa,jun23
Arrow-marked Babbler,2,Africa,jun23
Gray Tit-Flycatcher,47,Africa,jun23
Rüppell's Starling,9,Africa,jun23
African Pygmy-Kingfisher,14,Africa,jun23
Fan-tailed Raven,24,Africa,jun23
Yellow-fronted Tinkerbird,483,Africa,jun23
Northern Gray-headed Sparrow,16,Africa,jun23
African Scops-Owl,9,Africa,jun23
African Black-headed Oriole,4,Africa,jun23
Brown Babbler,1,Africa,jun23
Wattled Starling,1,Africa,jun23
White-browed Robin-Chat,15,Africa,jun23
