family,onset_intercept,onset_slope,cessation_intercept,cessation_slope
Acanthizidae,0.7691180427336664,0.15548408318727566,NA,NA
Accipitridae,1.1344832640421627,-0.015325134041993595,-1.3423487390775135,-0.09494340603010752
Aegithalidae,1.2272210286109941,-0.012330519423846898,-0.6772329163563477,-0.08698097471228251
Alaudidae,0.5524745713921355,-0.14496554568998427,-0.6875482961723789,-0.11025487064138152
Alcedinidae,0.30518969914103344,0.021067404351019992,-0.6592162715737994,-0.19393464176432776
Anatidae,-1.139458521377356,0.11945420532778224,1.4479916895971667,-0.18683161362616707
Anhingidae,-2.8783797223336784,-0.0452345455224787,NA,NA
Apodidae,1.4987634642471397,-0.32368122040924874,0.09780513284155533,0.06970564652625087
Aramidae,-0.7201712438360521,0.25262168995573103,0.5839306336164455,0.18445209876254412
Ardeidae,-1.5351504643019676,0.052354714852568165,2.7388622397102225,-0.25673412606605656
Bombycillidae,0.82610611456175,-0.018368833493863854,-0.8582755850663427,-0.07377084309879545
Burhinidae,-4.346504699789792,-0.2966124415863622,2.4954317064338265,0.6064939402271842
Campephagidae,0.6795120828878742,0.0971899203742661,NA,NA
Cardinalidae,0.1972109911406547,0.05841190519465326,-0.4903802695498071,-0.13089132435843667
Cathartidae,1.8693703987723729,0.05368181383503268,-0.9387669489049112,-0.09162748499704658
Certhiidae,0.9736626895550681,0.08307675993441596,-0.8286389707253826,-0.15190599718371323
Charadriidae,-0.9842787563675058,-0.3281532957575066,0.30886291757249096,-0.16931665749434913
Ciconiidae,0.3901936362460849,-0.41067767323783316,0.948609260794104,0.4413007603015415
Cisticolidae,0.3063883124824159,-0.17620029535210538,-0.3101414599110127,0.40725417058912994
Colluricinclidae,0.5134173604564515,0.08662398596160888,NA,NA
Columbidae,0.2791484958909273,0.036689193065582985,0.09318886603195825,-0.11610457839200855
Corvidae,0.36081845377759725,-0.014705193415138654,-0.41434507377144053,-0.05192976773211934
Cracidae,-0.72476990959896,0.023035808993405467,-0.31930655962703686,0.0416586463881331
Cracticidae,-0.8782635577952994,0.032853080731494295,NA,NA
Cuculidae,-0.07696987614060069,0.07476478595655613,-0.5224576530948849,-0.26963735369379305
Dendrocolaptidae,0.3619504850837046,0.03429190983296837,-0.9852658808970998,-0.19884311451184017
Dicaeidae,0.5704711636772704,0.008049396446292746,NA,NA
Dicruridae,0.2396554061261435,-2.270455804628648e-4,NA,NA
Diomedeidae,0.6880007992416101,-0.023575430165989973,NA,NA
Emberizidae,0.4262643733113549,0.03754814799970988,-0.6512363868086845,-0.09199729020311222
Estrildidae,0.13235054398840504,-0.04237701753316901,1.2958636734054092,0.10525874602167895
Eupetidae,-0.12780830859143766,-0.21038956479664875,NA,NA
Falconidae,0.7988735835168453,-0.08697859280266622,-0.33674301189598327,-0.19021356038263218
Fringillidae,0.7136627521822655,-0.011496501801097144,-0.6606222028019628,-0.07166539692427859
Furnariidae,0.048036243663390904,0.36459383197576245,-0.011059111677594007,-0.36919736164183103
Gaviidae,-1.06351401213287,0.5067895632968057,-1.1687732676233245,-0.468003972233268
Gruidae,-0.5122996432579489,-0.21122921807999295,0.7407182721982696,-0.2505676944269576
Haematopodidae,-1.5594985687475909,-0.11586085978246657,2.9245010820722683,0.1910699065491137
Hirundinidae,1.282645458497256,-0.08444485183514905,-1.1398848672764907,-0.16483230693001555
Icteridae,0.9185524958812729,-0.006616692371020801,-0.971439989922982,-0.022518273545937786
Laniidae,0.4476635827577936,-0.3207061961288875,-0.7294426845897518,-0.019202412454843224
Laridae,-0.417394006342345,-0.040355804823576855,0.2104220607078216,0.07225395029812133
Maluridae,-0.6195611415965057,-0.008340413865895475,NA,NA
Megapodiidae,-3.845049580109988,-0.06600751722440189,NA,NA
Meliphagidae,-0.6150826562839611,0.043729336331317384,NA,NA
Meropidae,1.788888031183159,-0.024581483940588695,-0.15610066759100324,-0.3103360455108274
Mimidae,0.47935536004905843,0.013723629859370473,-0.7104762591418158,-0.09281842657966133
Momotidae,-1.6768429271516951,0.4775785439722258,0.5264426033209902,0.20762039561527387
Monarchidae,-0.36292186387590664,0.18361180677335878,NA,NA
Motacillidae,1.3609381115817691,-0.07203627885449967,-0.6839284691360413,-0.003848078171730791
Muscicapidae,-0.3568835543672353,-0.2536759904514784,0.5942534083672926,0.011680103225556772
Musophagidae,0.15857765411951324,-0.128642515874629,0.6100495191256791,0.17104140387557584
Nectariniidae,-0.2133476938850151,-0.09103600394427465,6.525925057758105,1.551006031254213
Numididae,0.32164584031418686,-0.01626225296469884,1.5573412815791459,0.2933519933365702
Odontophoridae,0.5127126240276642,0.17098270810588356,-0.8774989678800184,-0.33130600675836147
Oriolidae,0.19304842876956285,0.08575281723199044,-0.5648009701909814,-0.40503422677897244
Pachycephalidae,0.45163846032288024,0.2089896136590251,NA,NA
Pardalotidae,0.6094113680834387,0.07122957887809638,NA,NA
Paridae,0.6725568736754458,0.027391340460796013,-0.5596405727681976,-0.13073050538447445
Parulidae,0.9726679219273617,-0.01910791082673165,-1.0816164782470477,-0.007677812083025102
Passeridae,0.6086989953233175,-0.008645308557811619,-0.6416661336344094,-0.10271167034985168
Petroicidae,-0.1928579481987229,0.23782438705642306,NA,NA
Phasianidae,0.012605319954788544,0.07292544828748694,0.6691779175527112,-0.04286732546828526
Picidae,0.8326608881729958,0.025431994460112836,-0.5054397320641877,-0.095955579598430693
Pipridae,0.8162983624458345,-0.19825085002888743,-0.6974311694684375,0.06487853918601044
Ploceidae,0.2722031595038241,-0.19313833877552153,0.6051898713219759,0.19219804636668406
Podicipedidae,-0.921334913571935,0.13012410439219968,-1.2731944461345486,0.13074002293148068
Polioptilidae,1.6727624410377602,0.13499124696020642,-1.5682101339631642,-0.1668727451691427
Procellariidae,-2.4220561366125892,0.02654897538006445,-1.1648206465311919,-0.13867311922726303
Prunellidae,0.12560260022081546,-0.04630045494445301,0.06790957118300525,-0.1043053671580608
Psittacidae,-0.30188012661830665,0.04152012891719124,0.691786036613039,0.055077269558954006
Pycnonotidae,-0.2609346258022263,-0.013700769663159775,NA,NA
Rallidae,-2.327024324720926,-0.057888781442276716,3.9582151813130815,-0.0035071340808457818
Ramphastidae,-0.32484039149587157,-0.7986381672554328,0.16487951426265549,0.6681882524485413
Recurvirostridae,-1.450176456015742,-0.14419166134565106,0.9797722244653538,0.42197754315854086
Reguliidae,0.5453281791904631,-0.01049545903022704,-0.2601639402060397,-0.12999406592152976
Remizidae,0.5053074575105714,0.12485780590304198,-1.0938693884769297,-0.10147968687462045
Rhipiduridae,-0.46002500653604317,0.5366832489146219,NA,NA
Scolopacidae,-0.9260245577868004,0.09322557033660071,1.713901436734025,-0.010948969660148836
Sittidae,0.688879624013466,0.0702001361651449,-0.787957116291528,-0.15630622854531018
Sturnidae,0.9496840347914222,0.07248438485438063,-0.6998619247080535,-0.11428350172987935
Sylviidae,0.7248113787993805,-0.14936392656727,-0.4845716857191899,-0.08215346065055175
Thamnophilidae,-0.31585663260148156,0.04353181979707322,-0.3322400203263616,-0.078016904132286
Thraupidae,0.34258890771419914,-0.15078955613934478,-0.4659747338578009,0.09545692680813617
Threskiornithidae,-0.8444342220721346,-0.32502155457062526,1.5381617000197352,0.698376201419817
Timaliidae,0.40086911712234774,0.2645308852213584,-0.45927183416498574,0.4733981644086136
Tinamidae,-1.9996917351581747,0.2487026066423046,-0.7366373025428175,-0.0412731608795962
Trochilidae,0.6064142645894195,0.05977210704723484,-0.9710055239061691,-0.15999259070418545
Troglodytidae,0.06663780789912083,0.06715642978113581,-0.3603620319536128,-0.15130406247295464
Turdidae,-0.49260591321175357,-0.14398151266070794,0.8468621881564918,0.013144868027320143
Tyrannidae,0.6561552772661337,0.06577329557971998,-1.255069703374463,-0.11174901785506043
Upupidae,1.2249771185815626,0.2687843858969745,0.41427559665527314,-0.1799764199570232
Vireonidae,1.1588606699333168,-0.15848119729564708,-1.78119174445649,0.007492459889902717
Zosteropidae,-0.3271159137500514,0.05103410156648069,-0.4703635998599136,-0.08731189393801511
