"part","term","statistic","Onset, base","Onset, eye size","Onset, cavity","Onset, migration","Onset, range size","Onset, habitat","Onset, latitude","Onset, species richness","Cessation, base","Cessation, eye size","Cessation, cavity","Cessation, migration","Cessation, range size","Cessation, habitat","Cessation, latitude","Cessation, species richness"
"estimates","(Intercept)","estimate","1.054","1.124","0.937","0.964","1.050","1.071","1.214","1.126","-2.076","-2.164","-1.846","-1.986","-2.033","-2.038","-2.338","-2.112"
"estimates","(Intercept)","std.error","(0.121)","(0.111)","(0.118)","(0.120)","(0.121)","(0.121)","(0.114)","(0.121)","(0.159)","(0.153)","(0.160)","(0.158)","(0.157)","(0.160)","(0.142)","(0.161)"
"estimates","alan_sc","estimate","-0.051","-0.044","-0.066","-0.039","-0.056","-0.046","-0.063","-0.057","0.088","0.076","0.104","0.056","0.092","0.124","-0.007","0.090"
"estimates","alan_sc","std.error","(0.027)","(0.026)","(0.028)","(0.026)","(0.026)","(0.027)","(0.023)","(0.023)","(0.041)","(0.041)","(0.043)","(0.043)","(0.041)","(0.042)","(0.015)","(0.046)"
"estimates","cd","estimate","","-0.194","","","","","","","","0.246","","","","","",""
"estimates","cd","std.error","","(0.009)","","","","","","","","(0.012)","","","","","",""
"estimates","alan_sc × cd","estimate","","-0.018","","","","","","","","0.026","","","","","",""
"estimates","alan_sc × cd","std.error","","(0.006)","","","","","","","","(0.007)","","","","","",""
"estimates","cavity1","estimate","","","0.599","","","","","","","","-1.005","","","","",""
"estimates","cavity1","std.error","","","(0.023)","","","","","","","","(0.031)","","","","",""
"estimates","alan_sc × cavity1","estimate","","","0.063","","","","","","","","-0.046","","","","",""
"estimates","alan_sc × cavity1","std.error","","","(0.017)","","","","","","","","(0.019)","","","","",""
"estimates","migration2","estimate","","","","0.272","","","","","","","","-0.254","","","",""
"estimates","migration2","std.error","","","","(0.012)","","","","","","","","(0.016)","","","",""
"estimates","migration3","estimate","","","","0.143","","","","","","","","-0.106","","","",""
"estimates","migration3","std.error","","","","(0.013)","","","","","","","","(0.018)","","","",""
"estimates","alan_sc × migration2","estimate","","","","0.001","","","","","","","","0.001","","","",""
"estimates","alan_sc × migration2","std.error","","","","(0.008)","","","","","","","","(0.008)","","","",""
"estimates","alan_sc × migration3","estimate","","","","-0.037","","","","","","","","0.086","","","",""
"estimates","alan_sc × migration3","std.error","","","","(0.009)","","","","","","","","(0.010)","","","",""
"estimates","range_size_sc","estimate","","","","","-0.005","","","","","","","","0.171","","",""
"estimates","range_size_sc","std.error","","","","","(0.004)","","","","","","","","(0.005)","","",""
"estimates","alan_sc × range_size_sc","estimate","","","","","-0.014","","","","","","","","0.013","","",""
