com_name,sci_name,sci_name_manual
Fire-crested Alethe,Alethe castanea,Alethe diademata
Cape White-eye,Zosterops virens,Zosterops pallidus
Bronze Mannikin,Spermestes cucullata,Lonchura cucullata
Gray Tit-Flycatcher,Fraseria plumbea,Myioparus plumbeus
African Gray Woodpecker,Chloropicus goertae,Mesopicos goertae
Tropical Boubou,Laniarius major,Laniarius aethiopicus
Southern Black-Tit,Melaniparus niger,Parus niger
Southern Ground-Hornbill,Bucorvus leadbeateri,Bucorvus cafer
Swinhoe's White-eye,Zosterops simplex,Zosterops japonicus
Japanese Tit,Parus minor,Parus major
Eurasian Blue Tit,Cyanistes caeruleus,Parus caeruleus
Hooded Crow,Corvus cornix,Corvus corone
European Stonechat,Saxicola rubicola,Saxicola torquatus
Lesser Redpoll,Acanthis cabaret,Carduelis flammea 
Tundra Bean-Goose,Anser serrirostris,Anser fabalis
Italian Sparrow,Passer italiae,Passer domesticus
Himalayan Owl,Strix nivicolum,Strix aluco
Middendorff's Grasshopper Warbler,Helopsaltes ochotensis,Locustella ochotensis
Itatiaia Spinetail,Asthenes moreirae,Oreophylax moreirae
Purple-naped Spiderhunter,Kurochkinegramma hypogrammicum,Hypogramma hypogrammicum
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Aphelocoma californica
Common Gallinule,Gallinula galeata,Gallinula chloropus
Wilson's Snipe,Gallinago delicata,Gallinago gallinago
Pacific Wren,Troglodytes pacificus,Troglodytes troglodytes
Ridgway's Rail,Rallus obsoletus,Rallus longirostris
Gray Silky-flycatcher,Ptiliogonys cinereus,Ptilogonys cinereus
Northern Shrike,Lanius borealis,Lanius excubitor
Audubon's Warbler,Setophaga auduboni,Dendroica coronata
Common Chlorospingus,Chlorospingus flavopectus, Chlorospingus ophthalmicus
Gray-cowled Wood-Rail,Aramides cajaneus,Aramides cajanea
Black-crowned Pitta,Erythropitta ussheri,Pitta ussheri
Mexican Whip-poor-will,Antrostomus arizonae,Caprimulgus vociferus
Sooty Fox Sparrow,Passerella unalaschcensis,Passerella iliaca
Slate-colored Fox Sparrow,Passerella schistacea,Passerella iliaca
Mistletoe Tyrannulet,Zimmerius parvus,Zimmerius chrysops
Chivi Vireo,Vireo chivi,Vireo olivaceus
Lesson's Motmot,Momotus lessonii,Momotus momota
Morelet's Seedeater,Sporophila morelleti,Sporophila torqueola
Whooping Motmot,Momotus subrufescens,Momotus momota
Blyth's Shrike-Babbler,Pteruthius aeralatus,Pteruthius flaviscapis
Tatama Tapaculo,Scytalopus alvarezlopezi,Scytalopus stilesi
Costa Rican Warbler,Basileuterus melanotis,Basileuterus tristriatus
Utcubamba Tapaculo,Scytalopus intermedius,Scytalopus latrans
Himalayan Black-lored Tit,Machlolophus xanthogenys,Parus xanthogenys
Cinnamon-bellied Saltator,Saltator grandis,Saltator coerulescens
Australasian Swamphen,Porphyrio melanotus,Porphyrio porphyrio
Common Cicadabird,Edolisoma tenuirostre,Coracina tenuirostris
Gray Fantail,Rhipidura albiscapa,Rhipidura fuliginosa
Red-collared Lorikeet,Trichoglossus rubritorquis,Trichoglossus haematodus
North Island Kokako,Callaeas wilsoni,Callaeas cinereus
