sci_name,sci_name_syn
Lophoceros nasutus,Tockus nasutus
Upupa africana,Upupa epops
Cinnyris mariquensis,Nectarinia mariquensis
Streptopelia senegalensis,Streptopelia senegalensis
Streptopelia senegalensis,Stigmatopelia senegalensis
Streptopelia senegalensis,Columba senegalensis
Cinnyris talatala,Nectarinia talatala
Ispidina picta,Ceyx pictus
Hedydipna platura,Anthreptes platurus
Cinnyris venustus,Nectarinia venusta
Chalcomitra senegalensis,Nectarinia senegalensis
Dendroperdix sephaena,Francolinus sephaena
Dendroperdix sephaena,Peliperdix sephaena
Dendroperdix sephaena,Dendroperdix sephaena
Pternistis natalensis,Francolinus natalensis
Pternistis natalensis,Pternistis natalensis
Tockus rufirostris,Tockus erythrorhynchus
Tockus rufirostris,Buceros rufirostris
Bucorvus leadbeateri,Buceros leadbeateri
Spinus psaltria,Carduelis psaltria
Rupornis magnirostris,Buteo magnirostris
Psilopogon haemacephalus,Megalaima haemacephala
Cinnyris jugularis,Nectarinia jugularis
Leptocoma sperata,Nectarinia sperata
Streptopelia chinensis,Streptopelia chinensis
Cinnyris asiaticus,Nectarinia asiatica
Spinus spinus,Carduelis spinus
Hydroprogne caspia,Sterna caspia
Chloris chloris,Carduelis chloris
Poecile montanus,Poecile montana
Apus melba,Apus melba
Apus melba,Hirundo melba
Periparus ater,Periparus melanolophus
Linaria cannabina,Carduelis cannabina
Linaria cannabina,Acanthis cannabina
Linaria cannabina,Fringilla cannabina
Cecropis daurica,Hirundo daurica
Ptyonoprogne rupestris,Hirundo rupestris
Picus sharpei,Picus viridis
Dryobates minor,Dendrocopos minor
Chroicocephalus ridibundus,Larus ridibundus
Mareca penelope,Anas penelope
Ardea alba,Casmerodius albus
Ardea alba,Egretta alba
Emberiza calandra,Miliaria calandra
Spatula clypeata,Anas clypeata
Acanthis flammea,Carduelis flammea
Ortalis columbiana,Ortalis guttata
Poecile sclateri,Parus sclateri
Dendrocoptes medius,Dendrocopos medius
Iduna pallida,Hippolais pallida
Calidris pugnax,Philomachus pugnax
Calidris pugnax,Tringa pugnax
Thalasseus sandvicensis,Sterna sandvicensis
Thalasseus sandvicensis,Thalasseus sandvicensis
Ichthyaetus melanocephalus,Larus melanocephalus
Stercorarius skua,Catharacta skua
Linaria flavirostris,Carduelis flavirostris
Tetrastes bonasia,Bonasa bonasia
Calidris falcinellus,Limicola falcinellus
Strix nivicolum,Syrnium nivicolum
Saucerottia tobaci,Amazilia tobaci
Saucerottia tobaci,Trochilus tobaci
Sugomel nigrum,Certhionyx niger
Sugomel nigrum,Myzomela nigra
Sugomel nigrum,Sugomel nigrum
Rhynchophanes mccownii,Calcarius mccownii
Rhynchophanes mccownii,Plectrophanes mccownii
Ixos mcclellandii,Hypsipetes mcclellandii
Pachyphantes superciliosus,Pachyphantes superciliosus
Melozone aberti,Pipilo aberti
Melozone aberti,Kieneria aberti
Haemorhous mexicanus,Carpodacus mexicanus
Dryobates scalaris,Dendrocopos scalaris
Dryobates scalaris,Picoides scalaris
Leiothlypis luciae,Vermivora luciae
Leiothlypis luciae,Helminthophaga luciae
Leiothlypis luciae,Oreothlypis luciae
Spinus pinus,Carduelis pinus
Peucaea carpalis,Aimophila carpalis
Setophaga coronata,Dendroica coronata
Setophaga coronata,Setophaga coronata
Aphelocoma wollweberi,Aphelocoma ultramarina
Poecile gambeli,Parus gambeli
Leiothlypis celata,Vermivora celata
Leiothlypis celata,Oreothlypis celata
Leiothlypis celata,Sylvia celatus
Cardellina pusilla,Wilsonia pusilla
Setophaga petechia,Dendroica petechia
Anser caerulescens,Anser hyperboreus
Anser caerulescens,Chen caerulescens
Spinus tristis,Carduelis tristis
Melozone fusca,Pipilo fuscus
Melozone fusca,Kieneria fusca
Dryobates villosus,Dendrocopos villosus
Dryobates villosus,Picoides villosus
Dryobates villosus,Dryobates villosus
Mareca americana,Anas americana
Setophaga townsendi,Dendroica townsendi
Psiloscops flammeolus,Otus flammeolus
Psiloscops flammeolus,Scops flammeola
Dryobates nuttallii,Dendrocopos nuttalli
Dryobates nuttallii,Picoides nuttallii
Dryobates nuttallii,Dendrocopos nuttallii
Setophaga nigrescens,Dendroica nigrescens
Geothlypis tolmiei,Oporornis tolmiei
Melozone crissalis,Pipilo crissalis
Melozone crissalis,Kieneria crissalis
Poecile rufescens,Parus rufescens
Haemorhous purpureus,Carpodacus purpureus
Ixoreus naevius,Zoothera naevia
Spinus lawrencei,Carduelis lawrencei
Dryobates pubescens,Dendrocopos pubescens
Dryobates pubescens,Picoides pubescens
Poecile atricapillus,Parus atricapillus
Gallinago delicata,Capella gallinago
Gallinago delicata,Scolopax delicata
Spatula discors,Anas discors
Haemorhous cassinii,Carpodacus cassinii
Phalaropus tricolor,Steganopus tricolor
Troglodytes pacificus,Nannus pacificus
Dryobates albolarvatus,Dendrocopos albolarvatus
Dryobates albolarvatus,Picoides albolarvatus
Dryobates albolarvatus,Leuconerpes albolarvatus
Dryobates albolarvatus,Dryobates albolarvatus
Thalasseus elegans,Sterna elegans
Setophaga citrina,Wilsonia citrina
Parkesia noveboracensis,Seiurus noveboracensis
Ptiliogonys cinereus,Ptiliogonys cinereus
Passerella megarhyncha,Passerella iliaca
Thryophilus sinaloa,Thryothorus sinaloa
